ID,TransmissionRatio,Transmission,INEvTransmission,FilterUsed,Nodes,EventSkew,EventNodeRatio,WorkloadSize,NumberProjections,MinimalSelectivity,MedianSelectivity,CombigenComputationTime,Efficiency,PlacementComputationTime,centralHopLatency,Depth,CentralTransmission,LowerBound,EventTypes,MaximumParents,exact_costs,PushPullTime,MaxPushPullLatency
3867934,0.6667222222222222,54000.0,36003.0,[],12,0.3,0.5,3,3,0.1,1.0,0.0,1.6666666666666667,0.01,3,0.0,54000.0,0.0,6,10,12235.200848545946,0.006129264831542969,7
6567662,0.33344444444444443,54000.0,18006.0,[],12,0.3,0.5,3,6,0.1,0.07335541123433015,0.0,1.6666666666666667,0.01,3,0.0,54000.0,0.0,6,10,6186.647748515281,0.031404733657836914,5
2974260,0.3334385964912281,57000.0,19006.0,[],12,0.3,0.5,3,9,0.1,0.07619045612591926,0.01,1.6666666666666667,0.01,3,0.0,57000.0,0.0,6,10,7171.314114156932,0.04439258575439453,5
2513526,0.33343333333333336,60000.0,20006.0,[],12,0.3,0.5,3,12,0.1,1.0,0.0,1.6666666666666667,0.01,3,0.0,60000.0,0.0,6,10,8947.098292425433,0.003776073455810547,5
5633028,0.3334871794871795,39000.0,13006.0,[],12,0.3,0.5,3,15,0.1,0.057823267859992235,0.0,1.6666666666666667,0.01,3,0.0,39000.0,0.0,6,10,3713.9411593471505,0.02773261070251465,5
5512069,0.3334666666666667,45000.0,15006.0,[],12,0.3,0.5,3,18,0.1,0.06907471625307181,0.01,1.6666666666666667,0.01,3,0.0,45000.0,0.0,6,10,4281.455652296481,0.01461029052734375,5
7253436,0.33342222222222223,45000.0,15004.0,[],12,0.3,0.5,3,20,0.1,0.0981962712564229,0.0,1.6666666666666667,0.01,3,0.0,45000.0,0.0,6,10,3000.0,0.0010113716125488281,0
4966255,0.3334871794871795,39000.0,13006.0,[],12,0.3,0.5,3,23,0.1,0.052485700831762655,0.01,1.6666666666666667,0.01,3,0.0,39000.0,0.0,6,10,3372.635514281453,0.022229909896850586,5
3117708,0.33345833333333336,48000.0,16006.0,[],12,0.3,0.5,3,26,0.1,0.06564184953498116,0.0,1.6666666666666667,0.01,3,0.0,48000.0,0.0,6,10,3609.5162877450325,0.014688491821289062,5
7446791,0.33341666666666664,72000.0,24006.0,[],12,0.3,0.5,3,29,0.1,0.05116797089261924,0.04,1.6666666666666667,0.01,3,0.0,72000.0,0.0,6,10,3331.3967534318735,0.10065555572509766,5
